"radius_km","site","captured","captured_cum","captured_pct"
20,1,2.53853718936443,2.53853718936443,8.8431497388319
20,2,2.25634349882603,4.79488068819046,16.7032604773923
20,3,1.43860993534327,6.23349062353373,21.7147462761081
20,4,1.50137932598591,7.73486994951963,26.9448930906222
20,5,0.174852665513754,7.90972261503339,27.5540030575158
20,6,0.69110793992877,8.60083055496216,29.9615198841714
20,7,0.535054616630077,9.13588517159224,31.8254154036606
20,8,0.388420518487692,9.52430569007993,33.1785020635733
20,9,0.752796936780214,10.2771026268601,35.8009162881008
20,10,0.80661990866065,11.0837225355208,38.6108261308615
20,11,1.01470033824444,12.0984228737652,42.1455968912558
20,12,0.313464777544141,12.4118876513094,43.2375706379026
20,13,0.918610179796815,13.3304978311062,46.4376054475531
20,14,0.1208784468472,13.4513762779534,46.858692918773
20,15,0.813374858349562,14.2647511363029,49.692134042394
20,16,0.64712275378406,14.911873890087,51.946425779814
20,17,0.516197295859456,15.4280711859465,53.7446306677275
20,18,0.474754400551319,15.9028255864978,55.3984666922042
20,19,0.100654626265168,16.003480212763,55.7491032460818
20,20,0.196297090500593,16.1997773032635,56.4329161805019
20,21,0.103596029803157,16.3033733330667,56.7937992937121
20,22,0.6265200804919,16.9298934135586,58.9763203571763
20,23,0.57931443117559,17.5092078447342,60.9943976507512
20,24,0.795504837296903,18.3047126820311,63.7655874618183
20,25,0.204610493034124,18.5093231750652,64.4783606430101
20,26,0.183689625933766,18.693012800999,65.1182547026315
20,27,0.371498690918088,19.0645114919171,66.4123931400484
20,28,0.0654682982712984,19.1299797901884,66.6404559658306
20,29,0.208131337538362,19.3381111277267,67.3654942244412
20,30,0.160790726542473,19.4989018542692,67.9256185658879
20,31,0.577596068382263,20.0764979226515,69.9377098374535
20,32,0.532776083797216,20.6092740064487,71.7936679483003
20,33,0.672964980825782,21.2822389872745,74.1379826659911
20,34,0.21406287420541,21.4963018614799,74.8836837957812
20,35,0.0956475669518113,21.5919494284317,75.2168779519486
20,36,0.282651570625603,21.8746009990573,76.2015120055407
20,37,0.456241702660918,22.3308427017182,77.7908579133469
20,38,0.276465681381524,22.6073083830997,78.753943042983
20,39,0.228570512495935,22.8358788955957,79.5501824190896
20,40,0.142878076992929,22.9787569725886,80.0479069490033
20,41,0.0683896020054817,23.0471465745941,80.2861463152207
20,42,0.450061029754579,23.4972076043487,81.8539614705028
20,43,0.105333109386265,23.6025407137349,82.2208958068056
20,44,0.202127061784267,23.8046677755192,82.9250178031731
20,45,0.314532590098679,24.1192003656179,84.0207113402379
20,46,0.35442428290844,24.4736246485263,85.2553700318532
20,47,0.0284155905246735,24.502040239051,85.354357481389
20,48,0.0433126548305154,24.5453528938815,85.5052397666111
20,49,0.177261910401285,24.7226148042828,86.1227424855933
20,50,0.462044690735638,25.1846594950184,87.7323034576863
20,51,0.183202936314046,25.3678624313325,88.3705021042164
20,52,0.245477801188827,25.6133402325213,89.2256390557517
20,53,0.261913493275642,25.8752537257969,90.1380307470615
20,54,0.135140185244381,26.0103939110413,90.6087998572626
20,55,0.024331446737051,26.0347253577784,90.693559941834
20,56,0.133143405430019,26.1678687632084,91.157373147285
20,57,0.120172406546772,26.2880411697552,91.5760010838861
20,58,0.259314904920757,26.5473560746759,92.4793404335449
20,59,0.108733694069088,26.656089768745,92.8581209148149
20,60,0.0233030179515481,26.6793927866966,92.9392984047393
20,61,0.212287259288132,26.8916800459847,93.6788140712406
20,62,0.196072300896049,27.0877523468807,94.3618439373089
20,63,0.0679956022650003,27.1557479491457,94.598710781305
20,64,0.0665195817127824,27.2222675308585,94.8304358173278
20,65,0.00966444425284863,27.2319319751114,94.8641025006557
20,66,0.196190702263266,27.4281226773746,95.5475448251367
20,67,0.240989685058594,27.6691123624332,96.387047149316
20,68,0.0329957911744714,27.7021081536077,96.5019900082702
20,69,0.226787583902478,27.9288957375102,97.2920184434493
20,70,0.0316369468346238,27.9605326843448,97.4022276849409
20,71,0.0329241566359997,27.9934568409808,97.516921000594
20,72,0.0275438716635108,28.0210007126443,97.6128717640999
20,73,0.0127940410748124,28.0337947537191,97.6574405895886
20,74,0.0127377482131124,28.0465325019322,97.7018133154466
20,75,0.028225617017597,28.0747581189498,97.8001389806381
20,76,0.111898326314986,28.1866564452648,98.1899436521134
20,77,0.0521311010234058,28.2387875462882,98.3715455346194
20,78,0.0847111367620528,28.3234986830503,98.6666419665614
20,79,0.081420857924968,28.4049195409752,98.9502765107041
20,80,0.0683883246965706,28.4733078656718,99.1885114273377
25,1,3.30682523921132,3.30682523921132,11.5195282042788
25,2,3.56528059020638,6.87210582941771,23.9394014494842
25,3,1.4926123842597,8.36471821367741,29.1390080856777
25,4,0.567528024315834,8.93224623799324,31.1160267092516
25,5,0.216559577733278,9.14880581572652,31.8704252586591
25,6,0.299400251358747,9.44820606708527,32.9134043671402
25,7,1.12281960062683,10.5710256677121,36.824815198401
25,8,0.992629280313849,11.5636549480259,40.2827000770393
25,9,0.248333852738142,11.8119888007641,41.1477862590283
25,10,1.44937253557146,13.2613613363355,46.1967642346544
25,11,1.11739027686417,14.3787516131997,50.0892616841398
25,12,0.781950242817402,15.1607018560171,52.8132332353627
25,13,0.714762214571238,15.8754640705884,55.3031511761336
25,14,0.100654626265168,15.9761186968535,55.6537877300113
25,15,0.12094708904624,16.0970657858998,56.0751143205347
25,16,0.103596029803157,16.2006618157029,56.4359974337449
25,17,0.536101931706071,16.736763747409,58.3035413394305
25,18,0.981997698545456,17.7187614459544,61.7243904519857
25,19,1.05096265673637,18.7697241026908,65.3854832192606
25,20,0.70311151444912,19.4728356171399,67.8348152327605
25,21,0.136040901765227,19.6088765189052,68.3087220441147
25,22,0.199220955371857,19.808097474277,69.0027204408478
25,23,0.0214756187051535,19.8295730929822,69.0775320736021
25,24,0.0212538186460733,19.8508269116282,69.1515710522693
25,25,0.58867134898901,20.4394982606173,71.20224374199
25,26,0.576571654528379,21.0160699151456,73.2107664051687
25,27,0.899789670482278,21.9158595856279,76.3452388182048
25,28,0.228163903579116,22.144023489207,77.1400617472522
25,29,0.22885066922754,22.3728741584346,77.937277066488
25,30,0.508620491251349,22.8814946496859,79.7090876916063
25,31,0.367539838887751,23.2490344885737,80.9894352255671
25,32,0.446317258290946,23.6953517468646,82.544208723717
25,33,0.249983442015946,23.9453351888806,83.4150413509629
25,34,0.323827009648085,24.2691621985286,84.5431125676439
25,35,0.150300093926489,24.4194622924551,85.0666921480105
25,36,0.181878201663494,24.6013404941186,85.7002760002693
25,37,0.108049154281616,24.7093896484002,86.0766718452739
25,38,0.319362064823508,25.0287517132238,87.189189153261
25,39,0.2997942622751,25.3285459754989,88.2335408228952
25,40,0.34247048292309,25.6710164584219,89.4265577203066
25,41,0.0375574575737119,25.7085739159957,89.5573914234825
25,42,0.519911776296794,26.2284856922925,91.3685359314444
25,43,0.0785593679174781,26.3070450602099,91.6422022999313
25,44,0.450696090236306,26.7577411504462,93.2122297272875
25,45,0.0604083500802517,26.8181495005265,93.4226659137154
25,46,0.11722447630018,26.9353739768267,93.8310245547949
25,47,0.372852727770805,27.3082267045975,95.1298798624986
25,48,0.0275756306946278,27.3358023352921,95.2259412605341
25,49,0.0180548327043653,27.3538571679965,95.288836375793
25,50,0.239938888233155,27.5937960562296,96.1246781848886
25,51,0.0329957911744714,27.6267918474041,96.2396210438427
25,52,0.234143784269691,27.8609356316738,97.0552752534358
25,53,0.0754338302649558,27.9363694619387,97.3180536201272
25,54,0.0342171592637897,27.9705866212025,97.4372511896074
25,55,0.108709022402763,28.0792956436053,97.815945725617
25,56,0.147057944443077,28.2263535880484,98.3282310797349
25,57,0.00610676081851125,28.2324603488669,98.3495043549753
25,58,0.00606434978544712,28.2385246986523,98.3706298887851
25,59,0.00537030678242445,28.2438950054348,98.3893376812962
25,60,0.0914064468815923,28.3353014523163,98.7077576360068
25,61,0.013870136346668,28.349171588663,98.7560751052664
25,62,0.097875940031372,28.4470475286944,99.0970319355042
25,63,0.049013992305845,28.4960615210002,99.2677751789258
25,64,0.0649523546453565,28.5610138756456,99.4940406834948
25,65,0.0810895112808794,28.6421033869265,99.7765209613138
25,66,0.0588332762708887,28.7009366631974,99.981470281682
25,67,0.00531918834894896,28.7062558515463,100
30,1,4.24712189286947,4.24712189286947,14.7951091735312
30,2,3.83033377677202,8.07745566964149,28.1383114238717
30,3,0.639236330986023,8.71669200062752,30.3651303245734
30,4,0.257575776427984,8.9742677770555,31.2624113136374
30,5,0.58299558237195,9.55726335942745,33.2933121228091
30,6,1.30725109018385,10.8645144496113,37.8472013410487
30,7,0.0738255009055138,10.9383399505168,38.1043769939353
30,8,1.1495566200465,12.0878965705633,42.1089278695054
30,9,1.41234515234828,13.5002417229116,47.0289186884133
30,10,1.30890895798802,14.8091506808996,51.5885831906633
30,11,0.0914065130054951,14.9005571939051,51.9070033757205
30,12,0.982220894657075,15.8827780885622,55.3286300055973
30,13,0.954399846494198,16.8371779350564,58.6533403106606
30,14,0.100654626265168,16.9378325613216,59.0039768645383
30,15,0.103596029803157,17.0414285911247,59.3648599777486
30,16,0.904464121907949,17.9458927130327,62.5156161285519
30,17,0.406560879200697,18.3524535922334,63.9318958457788
30,18,1.15650753770024,19.5089611299336,67.9606606686142
30,19,0.642921387217939,20.1518825171515,70.2003166883431
30,20,0.174428815022111,20.3263113321736,70.8079501460959
30,21,1.17858635354787,21.5048976857215,74.9136278758664
30,22,0.242688360624015,21.7475860463455,75.7590476403911
30,23,0.528261000290513,22.275847046636,77.5992771813748
30,24,0.520642150193453,22.7964891968295,79.4129659915281
30,25,0.158470780588686,22.9549599774182,79.9650086591898
30,26,0.474460572935641,23.4294205503538,81.6178211171756
30,27,0.617260192520916,24.0466807428747,83.7680847938915
30,28,0.374491740949452,24.4211724838242,85.072649704363
30,29,0.274847025051713,24.6960195088759,86.0300961455606
30,30,0.0472803758457303,24.7432998847216,86.1948002298907
30,31,0.109807261265814,24.8531071459875,86.5773205482271
30,32,0.312602282501757,25.1657094284892,87.6662897405815
30,33,0.296778267249465,25.4624876957387,88.7001350068685
30,34,0.239932588301599,25.7024202840403,89.5359548697667
30,35,0.424866439774632,26.1272867238149,91.0160031281388
30,36,0.555979995056987,26.6832667188719,92.9527934846807
30,37,0.0237390417605639,26.7070057606325,93.0354898902423
30,38,0.264467324130237,26.9714730847627,93.9567780077102
30,39,0.0352958319708705,27.0067689167336,94.0797331996148
30,40,0.0905087646096945,27.0972776813433,94.3950260231643
30,41,0.358075063675642,27.4553527450189,95.6424024331267
30,42,0.283898576162755,27.7392513211817,96.6313805068641
30,43,0.0329957911744714,27.7722471123561,96.7463233658183
30,44,0.189687879756093,27.9619349921122,97.4071127099148
30,45,0.0740250842645764,28.0359600763768,97.6649836236536
30,46,0.0395874660462141,28.075547542423,97.8028889856449
30,47,0.00656056636944413,28.0821081087925,97.8257431203093
30,48,0.164669461548328,28.2467775703408,98.3993792726516
30,49,0.107462360523641,28.3542399308644,98.7737309856697
30,50,0.0285990885458887,28.3828390194103,98.8733576617984
30,51,0.126655693515204,28.5094947129255,99.3145705255386
30,52,0.0755152202909812,28.5850099332165,99.5776324193694
30,53,0.0485775491688401,28.6335874823853,99.746855286399
30,54,0.0726683691609651,28.7062558515463,100
40,1,6.78385920450091,6.78385920450091,23.6319889280702
40,2,3.2296861410141,10.013545345515,34.8827983603986
40,3,0.0378572829067707,10.0514026284218,35.014676523481
40,4,2.60146453045309,12.6528671588749,44.0770375081615
40,5,1.24096313305199,13.8938302919269,48.4000085687888
40,6,1.73716582357883,15.6309961155057,54.4515320853441
40,7,1.2213191986084,16.8523153141141,58.7060722975
40,8,0.100654626265168,16.9529699403793,59.0567088513777
40,9,0.103596029803157,17.0565659701824,59.4175919645879
40,10,1.797975724563,18.8545416947454,65.6809504947327
40,11,1.18786886986345,20.0424105646089,69.8189644384754
40,12,1.00401343870908,21.046424003318,73.3165067299582
40,13,0.0848727524280548,21.131296755746,73.6121661599687
40,14,1.90855380054563,23.0398505562916,80.2607301887145
40,15,0.270831667818129,23.3106822241098,81.2041888871206
40,16,0.419812428764999,23.7304946528748,82.6666311886734
40,17,0.822616030462086,24.5531106833369,85.5322645012037
40,18,0.396607235074043,24.9497179184109,86.9138700896339
40,19,0.383541343733668,25.3332592621446,88.2499598455295
40,20,0.530507021583617,25.8637662837282,90.098013539216
40,21,0.448605481535196,26.3123717652634,91.6607582031497
40,22,0.242878133431077,26.5552498986945,92.5068390528681
40,23,0.177586000412703,26.7328358991072,93.1254707592497
40,24,0.269370332360268,27.0022062314674,94.0638388061079
40,25,0.0231659384444356,27.0253721699119,94.1445387711756
40,26,0.0429425416514277,27.0683147115633,94.2941317444755
40,27,0.312739026732743,27.381053738296,95.3835772937316
40,28,0.372156435158104,27.7532101734541,96.6800070234836
40,29,0.0329957911744714,27.7862059646286,96.7949498824378
40,30,0.107990587130189,27.8941965517588,97.1711417051842
40,31,0.176923179533333,28.0711197312921,97.7874644344467
40,32,0.0557694886811078,28.1268892199732,97.9817408631441
40,33,0.193354695569724,28.320243915543,98.6553037846538
40,34,0.1683124123374,28.4885563278804,99.2416303791349
40,35,0.0876773572526872,28.576233685133,99.5470598217836
40,36,0.0444194793235511,28.6206531644566,99.7017977979002
40,37,0.0712552614277229,28.6919084258843,99.9500198641851
40,38,0.0143474256619811,28.7062558515463,100
50,1,8.05541560798883,8.05541560798883,28.0615335195479
50,2,2.7975065074861,10.8529221154749,37.806818735263
50,3,1.24096313305199,12.0938852485269,42.1297897958904
50,4,3.42392519023269,15.5178104387596,54.057242849815
50,5,1.94869436137378,17.4665048001334,60.845638980092
50,6,1.51779434271157,18.984299142845,66.1329685104941
50,7,0.100654626265168,19.0849537691101,66.4836050643717
50,8,0.103596029803157,19.1885497989133,66.844488177582
50,9,1.69542185403407,20.8839716529474,72.7505940201617
50,10,0.268780671060085,21.1527523240075,73.6869079457746
50,11,0.672658470459282,21.8254107944667,76.0301549158355
50,12,2.23772663250566,24.0631374269724,83.8254126606211
50,13,0.242688360624015,24.3058257875964,84.6708324251459
50,14,1.14347290992737,25.4492986975238,88.6541903239983
50,15,0.123337284661829,25.5726359821856,89.0838433073051
50,16,0.194712100550532,25.7673480827361,89.762134832182
50,17,0.491353964433074,26.2587020471692,91.4737964538651
50,18,0.448605481535196,26.7073075287044,93.0365411177988
50,19,0.352085379883647,27.0593929085881,94.2630520975116
50,20,0.0604083500802517,27.1198012586683,94.4734882839395
50,21,0.210376557894051,27.3301778165624,95.2063479051385
50,22,0.471380135510117,27.8015579520725,96.8484294707312
50,23,0.0329957911744714,27.8345537432469,96.9633723296854
50,24,0.00876688677817583,27.8433206300251,96.9939123165911
50,25,0.191362157464027,28.0346827874891,97.6605341096025
50,26,0.073539596516639,28.1082223840058,97.916713797044
50,27,0.204512260854244,28.31273464486,98.6291447804222
50,28,0.0364369438029826,28.349171588663,98.7560751052664
50,29,0.237534187966958,28.58670577663,99.5835399937401
50,30,0.0941145609831437,28.6808203376131,99.9113938297466
50,31,0.0254355139331892,28.7062558515463,100
